Cena (USD->EUR kurss uz 2024-10-10);Saite;Kategorija;Marka un modelis;Gads;Valsts;Motorstundas (h);Jauda (zs);Piedziņa/Vilce
25151.05;https://www.mascus.com/agriculture/tractors/tym-2515h/ghil8gcj.html;tractors;TYM 2515H;United States;2024;;24.0;4 WD
48390.27;https://www.mascus.com/agriculture/tractors/john-deere-5075-m/5pin6igj.html;tractors;John Deere 5075M;United States;2021;287.0;75.0;
145445.25;https://www.mascus.com/agriculture/tractors/john-deere-8285-r/gl7o8sfu.html;tractors;John Deere 8285R;United States;2012;4812.0;285.0;
18267.56;https://www.mascus.com/agriculture/tractors/tym-t224h/6g8mcf5k.html;tractors;TYM T224H;United States;2024;;22.0;4 WD
109312.62;https://www.mascus.com/agriculture/tractors/john-deere-8360-rt/4qbf8o7q.html;;;;;3889.0;;
324736.25;https://www.mascus.com/agriculture/tractors/john-deere-340/3faies5u.html;tractors;John Deere 8R 340;United States;2023;667.0;;
9559.14;https://www.mascus.com/agriculture/tractors/new-holland-tc-45-d/8f6g4tdn.html;;;;;2100.0;;
17192.73;https://www.mascus.com/agriculture/tractors/branson-2515h/itgj8oek.html;tractors;Branson 2515H;United States;2022;31.0;24.0;4 WD
47108.71;https://www.mascus.com/agriculture/tractors/john-deere-4066-m/8jfk3ifh.html;tractors;John Deere 4066M;United States;2024;1.0;65.0;
265186.02;https://www.mascus.com/agriculture/tractors/john-deere-280/bidi9kff.html;tractors;John Deere 8R 280;United States;2023;537.0;280.0;
65861.09;https://www.mascus.com/agriculture/tractors/john-deere-5090/5kdh3iaf.html;tractors;John Deere 5090E;United States;2023;1.0;90.0;
27254.98;https://www.mascus.com/agriculture/tractors/ventrac-4520p/9k6ihi4k.html;tractors;Ventrac 4520P;United States;2024;;32.0;
17837.62;https://www.mascus.com/agriculture/tractors/john-deere-4430/5ubsbicf.html;tractors;John Deere 4430;United States;1974;12903.0;;
504942.0;https://www.mascus.com/agriculture/tractors/mobile-track-solutions-3630/hlbjhret.html;tractors;Mobile Track Solutions 3630;United States;2022;1333.0;;
137121.02;https://www.mascus.com/agriculture/tractors/john-deere-8295-r/hnho3hcf.html;tractors;John Deere 8295R;United States;2010;5373.0;295.0;
27351.02;https://www.mascus.com/agriculture/tractors/ashland-50-cs/gkekbr8m.html;tractors;Ashland 50-cs;United States;2023;;;
17837.62;https://www.mascus.com/agriculture/tractors/new-holland-545-d/dt7kbuhj.html;tractors;New Holland 545 D;United States;;1582.0;;
18203.52;https://www.mascus.com/agriculture/tractors/kubota-m-9000/bh4ogi9f.html;tractors;Kubota M9000;United States;2000;1830.0;80.0;2 WD
22796.48;https://www.mascus.com/agriculture/tractors/tym-3515r/4hbmcrfo.html;tractors;TYM 3515R;United States;2024;;35.0;4 WD
82783.96;https://www.mascus.com/agriculture/tractors/john-deere-5105-m/fk9iigcn.html;tractors;John Deere 5105M;United States;2024;1.0;105.0;
13668.19;https://www.mascus.com/agriculture/tractors/tym-t224h/4j6h8ghs.html;tractors;TYM T224H;United States;2024;;22.0;4 WD
91017.62;https://www.mascus.com/agriculture/tractors/john-deere-6130-m/ei5odfak.html;tractors;John Deere 6130M;United States;2019;2244.0;130.0;
7770.8;https://www.mascus.com/agriculture/tractors/ford-445/iqgidtdj.html;tractors;Ford 445;United States;1986;3055.0;47.0;2 WD
105653.62;https://www.mascus.com/agriculture/tractors/case-ih-magnum-290/4ngu8rhn.html;tractors;Case IH MAGNUM 290;United States;2012;4188.0;290.0;
123948.62;https://www.mascus.com/agriculture/tractors/john-deere-8285-r/gl3ldlau.html;tractors;John Deere 8285R;United States;2011;4870.0;285.0;
26985.12;https://www.mascus.com/agriculture/tractors/case-ih-7110/it3j3kbp.html;tractors;Case IH 7110;United States;1990;8468.0;;
37503.84;https://www.mascus.com/agriculture/tractors/john-deere-4044-m/ajileg6u.html;;;;;2.0;;
361326.25;https://www.mascus.com/agriculture/tractors/john-deere-410/8t5s4kin.html;tractors;John Deere 8R 410;United States;2023;841.0;410.0;
73545.9;https://www.mascus.com/agriculture/tractors/john-deere-50/5l9sbf7m.html;tractors;John Deere 5075GN;United States;2022;1.0;75.0;
47108.71;https://www.mascus.com/agriculture/tractors/john-deere-4066-m/hfbkdhfl.html;;;;;1.0;;
30827.07;https://www.mascus.com/agriculture/tractors/ventrac-4520n/ipfsamgn.html;tractors;Ventrac 4520N;United States;2024;;32.0;
95591.38;https://www.mascus.com/agriculture/tractors/case-ih-magnum-250/bj8n6m5p.html;tractors;Case IH MAGNUM 250;United States;2017;4602.0;250.0;
411591.76;https://www.mascus.com/agriculture/tractors/john-deere-r-310/hg8sdpai.html;tractors;John Deere 8R 310;United States;2022;1168.0;310.0;
283115.12;https://www.mascus.com/agriculture/tractors/john-deere-r-310/ak9m8k3r.html;tractors;John Deere 8R 310;United States;2022;466.0;310.0;
16145.34;https://www.mascus.com/agriculture/tractors/yanmar-425-cl/5m9u7geg.html;tractors;Yanmar 425CL LEGEND 25HP 4X4 HD Hystat Tractor Loader;United States;2024;;;
45736.59;https://www.mascus.com/agriculture/tractors/new-holland-5/ch8g4q5s.html;tractors;New Holland WORKMASTER 105;United States;2021;707.0;112.0;4 WD
72722.62;https://www.mascus.com/agriculture/tractors/case-ih-8920/efajirim.html;tractors;Case IH 8920;United States;1998;5526.0;172.0;
70899.53;https://www.mascus.com/agriculture/tractors/new-holland-t-6-145/auht9t6h.html;tractors;New Holland T6.145;United States;2020;809.0;;
17837.62;https://www.mascus.com/agriculture/tractors/kubota-m-4700/hg4k5m3n.html;tractors;Kubota M4700;United States;1997;2673.0;51.0;4 WD
109678.52;https://www.mascus.com/agriculture/tractors/john-deere-8330/9ndjengl.html;tractors;John Deere 8330;United States;2007;6028.0;225.0;
31358.54;https://www.mascus.com/agriculture/tractors/tym-t494c/duds6jhk.html;tractors;TYM T494C;United States;2024;;48.0;4 WD
50767.71;https://www.mascus.com/agriculture/tractors/john-deere-5075-e/di4hffbs.html;tractors;John Deere 5075E;United States;2023;;75.0;
50310.34;https://www.mascus.com/agriculture/tractors/john-deere-4066-m/7n8sakhu.html;tractors;John Deere 4066M;United States;2024;1.0;66.0;
92298.27;https://www.mascus.com/agriculture/tractors/john-deere-512/4t3fbmbr.html;tractors;John Deere 5120M;United States;2024;1.0;120.0;
60271.96;https://www.mascus.com/agriculture/tractors/john-deere-5075-e/er6hdl7h.html;tractors;John Deere 5075E;United States;2024;1.0;75.0;
54426.71;https://www.mascus.com/agriculture/tractors/john-deere-4052-r/9i7q6q6l.html;tractors;John Deere 4052R;United States;2024;1.0;52.0;
7226.52;https://www.mascus.com/agriculture/tractors/ford-3230/6p6h5p7u.html;tractors;Ford 3230;United States;1992;;;
18295.0;https://www.mascus.com/agriculture/tractors/cat-631-d/3o3rdraq.html;tractors;CAT 631D PAN;United States;1979;2756.0;;
75008.59;https://www.mascus.com/agriculture/tractors/john-deere-5100-e/6ghqdj8h.html;tractors;John Deere 5100E;United States;2023;1.0;100.0;
452709.77;https://www.mascus.com/agriculture/tractors/john-deere-410/hmep8qhj.html;tractors;John Deere 8R 410;United States;2022;600.0;410.0;
81870.12;https://www.mascus.com/agriculture/tractors/new-holland-ts-6-110/9t8g4kgk.html;tractors;New Holland TS6.110;United States;2019;1116.0;90.0;
274333.52;https://www.mascus.com/agriculture/tractors/john-deere-9570-r/iihh8j3s.html;tractors;John Deere 9570RX;United States;2019;3080.0;570.0;
425358.75;https://www.mascus.com/agriculture/tractors/john-deere-9620-r/8makeq5h.html;tractors;John Deere 9620RX;United States;2019;2000.0;620.0;
86809.77;https://www.mascus.com/agriculture/tractors/john-deere-105/hk8qdsgi.html;tractors;John Deere 6105E;United States;2023;4.0;105.0;
54793.52;https://www.mascus.com/agriculture/tractors/case-ih-maxxum-140/iuir7lbk.html;tractors;Case IH MAXXUM 140;United States;2012;8500.0;139.0;4 WD
52044.7;https://www.mascus.com/agriculture/tractors/kioti-rx-7320/dlhthm7r.html;tractors;Kioti RX7320PCC 75HP Cab Tractor + FREE BACKHOE SPECIAL;United States;2024;;;
338366.02;https://www.mascus.com/agriculture/tractors/john-deere-r-310/7m6n3mfq.html;tractors;John Deere 8R 310;United States;2023;376.0;310.0;
68606.25;https://www.mascus.com/agriculture/tractors/john-deere-5090/4j6g9ocs.html;tractors;John Deere 5090E;United States;2024;1.0;90.0;
36589.09;https://www.mascus.com/agriculture/tractors/john-deere-4044-m/er9nai6l.html;tractors;John Deere 4044M;United States;2024;1.0;43.0;
59916.12;https://www.mascus.com/agriculture/tractors/john-deere-5075-e/bihqeidg.html;tractors;John Deere 5075E;United States;2024;1.0;75.0;
73180.0;https://www.mascus.com/agriculture/tractors/john-deere-105/hr6r5t8s.html;tractors;John Deere 6105E;United States;2021;637.0;;
39790.71;https://www.mascus.com/agriculture/tractors/john-deere-50/ch5o8hch.html;tractors;John Deere 5050E;United States;2024;;50.0;
17837.62;https://www.mascus.com/agriculture/tractors/massey-ferguson-4610/gpfm4oem.html;tractors;Massey Ferguson 4610;United States;2014;2159.0;99.0;2 WD
25154.71;https://www.mascus.com/agriculture/tractors/john-deere-25/ckbf8oir.html;tractors;John Deere 3025E;United States;2022;;;
23866.74;https://www.mascus.com/agriculture/tractors/tym-3515h/4o8f3kht.html;tractors;TYM 3515H;United States;2024;;35.0;4 WD
100531.02;https://www.mascus.com/agriculture/tractors/john-deere-6130-m/dsgs9thq.html;tractors;John Deere 6130M;United States;2023;120.0;130.0;
23957.3;https://www.mascus.com/agriculture/tractors/branson-4215h/5s5n9ieo.html;tractors;Branson 4215H;United States;2024;;42.0;4 WD
54427.62;https://www.mascus.com/agriculture/tractors/john-deere-6430/5i5hfu7k.html;tractors;John Deere 6430;United States;2010;2240.0;90.0;
59457.84;https://www.mascus.com/agriculture/tractors/john-deere-5075-e/5fem4m6p.html;tractors;John Deere 5075E;United States;2024;1.0;75.0;
26527.75;https://www.mascus.com/agriculture/tractors/ashland-3250ss/ag9fifim.html;tractors;Ashland 3250SS;United States;2024;;;
86443.88;https://www.mascus.com/agriculture/tractors/john-deere-6110/bnhkifbg.html;tractors;John Deere 6110M;United States;2021;1005.0;110.0;
162368.12;https://www.mascus.com/agriculture/tractors/john-deere-8370-r/4pbp6lbp.html;tractors;John Deere 8370R;United States;2016;4254.0;370.0;
14636.0;https://www.mascus.com/agriculture/tractors/john-deere-5205/aqfibj3g.html;tractors;John Deere 5205;United States;2005;1154.0;53.0;
182492.62;https://www.mascus.com/agriculture/tractors/john-deere-7290-r/el3pipfl.html;tractors;John Deere 7290R;United States;2019;1050.0;290.0;
200787.62;https://www.mascus.com/agriculture/tractors/john-deere-280/7t4rbtgk.html;tractors;John Deere 8R 280;United States;2022;2905.0;280.0;
59457.84;https://www.mascus.com/agriculture/tractors/john-deere-5075-e/9m4q7gfh.html;tractors;John Deere 5075E;United States;2023;1.0;79.0;
10885.52;https://www.mascus.com/agriculture/tractors/john-deere-790/amdo7u3p.html;tractors;John Deere 790;United States;2000;599.0;26.0;4 WD
44821.84;https://www.mascus.com/agriculture/tractors/john-deere-5075-e/3lcr4nbs.html;tractors;John Deere 5075E;United States;2024;1.0;75.0;
94676.62;https://www.mascus.com/agriculture/tractors/john-deere-5105-m/fseg5ubs.html;tractors;John Deere 5105M;United States;2024;1.0;105.0;
52139.84;https://www.mascus.com/agriculture/tractors/john-deere-5075-e/ijekclbk.html;tractors;John Deere 5075E;United States;2024;1.0;73.0;
60555.54;https://www.mascus.com/agriculture/tractors/john-deere-4066-m/cmfogm9o.html;;;;;;;
31082.29;https://www.mascus.com/agriculture/tractors/tym-4820r/bp5lhp4i.html;tractors;TYM 4820R;United States;2024;;45.0;4 WD
55798.84;https://www.mascus.com/agriculture/tractors/john-deere-5100-e/ajcq9rhl.html;tractors;John Deere 5100E;United States;2023;1.0;100.0;
274700.34;https://www.mascus.com/agriculture/tractors/john-deere-6-r/9ggqfpiu.html;tractors;John Deere 6R 195;United States;2023;769.0;195.0;
17837.62;https://www.mascus.com/agriculture/tractors/international-1466/hghrapai.html;tractors;International 1466;United States;1974;;133.0;2 WD
95957.27;https://www.mascus.com/agriculture/tractors/john-deere-105/fs8pegif.html;tractors;John Deere 6105E;United States;2023;1.0;105.0;
14544.52;https://www.mascus.com/agriculture/tractors/kubota-l-3200/3m9fgpat.html;tractors;Kubota L3200;United States;2012;563.0;26.0;4 WD
38418.59;https://www.mascus.com/agriculture/tractors/john-deere-506/6g8jflak.html;tractors;John Deere 5060E;United States;2023;1.0;60.0;
51225.09;https://www.mascus.com/agriculture/tractors/kubota-m-5-111/gm7p5qaq.html;tractors;Kubota M5-111HDC12;United States;2018;618.0;89.0;4 WD
17837.62;https://www.mascus.com/agriculture/tractors/challenger-mt-455-b/ep8l9lat.html;tractors;Challenger MT455B;United States;2004;5320.0;;
37503.84;https://www.mascus.com/agriculture/tractors/john-deere-506/buet4fes.html;tractors;John Deere 5060E;United States;2023;1.0;60.0;
24675.38;https://www.mascus.com/agriculture/tractors/yanmar-ym-342-vi-tl/greqcu7n.html;tractors;Yanmar YM342VI-TL 42HP Tractor Loader 10 Yr Warranty;United States;2024;;;
169228.75;https://www.mascus.com/agriculture/tractors/case-ih-magnum-310/9i4shkcq.html;tractors;Case IH Magnum 310;United States;2019;3495.0;;
48024.38;https://www.mascus.com/agriculture/tractors/john-deere-4044-m/6p3hiqcm.html;tractors;John Deere 4044M;United States;2024;1.0;44.0;
201245.0;https://www.mascus.com/agriculture/tractors/john-deere-8270-r/af8riohk.html;tractors;John Deere 8270R;United States;2018;3018.0;270.0;
63574.21;https://www.mascus.com/agriculture/tractors/john-deere-5090/bsel4rcs.html;tractors;John Deere 5090E;United States;2023;1.0;90.0;
77753.75;https://www.mascus.com/agriculture/tractors/k-tec-1228/ep8kef9q.html;tractors;K-Tec 1228;United States;2012;;;
202137.8;https://www.mascus.com/agriculture/tractors/john-deere-8345-r-t/bkij4pek.html;tractors;John Deere 8345RT;United States;2015;3883.0;;
59470.64;https://www.mascus.com/agriculture/tractors/john-deere-4052-r/ffds4mas.html;tractors;John Deere 4052R;United States;2024;1.0;52.0;
150842.27;https://www.mascus.com/agriculture/tractors/john-deere-8235-r/8pdj8ndp.html;tractors;John Deere 8235R;United States;2013;2923.0;;
11434.38;https://www.mascus.com/agriculture/tractors/allis-chalmers-7020/fmem8s6o.html;tractors;Allis-Chalmers 7020;United States;1978;5870.0;146.0;2 WD
31893.67;https://www.mascus.com/agriculture/tractors/tym-5835r/fmht9r6k.html;tractors;TYM 5835R;United States;2024;;58.0;4 WD
54885.0;https://www.mascus.com/agriculture/tractors/john-deere-8410-t/es7qfsgi.html;tractors;John Deere 8410T;United States;2001;13686.0;;
37962.12;https://www.mascus.com/agriculture/tractors/kubota-m-8540/4r5f5l6o.html;tractors;Kubota M8540D;United States;2013;960.0;75.0;4 WD
45646.02;https://www.mascus.com/agriculture/tractors/john-deere-6310/dm4kem6i.html;tractors;John Deere 6310;United States;2001;2388.0;;
33388.38;https://www.mascus.com/agriculture/tractors/cat-ch-75-c/gs8m4s3k.html;tractors;CAT CH75C;United States;1993;7553.0;325.0;
26542.39;https://www.mascus.com/agriculture/tractors/tym-t494/7h7t7ffl.html;tractors;TYM T494;United States;2024;;48.0;4 WD
79285.96;https://www.mascus.com/agriculture/tractors/kioti-hx1151pc-zt-115-hp-4x4-premier-cab-tractor-on-sale/6obj6jdr.html;tractors;Kioti HX1151PC ZT 115 HP 4X4 PREMIER CAB TRACTOR ON SALE;United States;2024;;;
41163.75;https://www.mascus.com/agriculture/tractors/case-ih-7140/6phrhniq.html;tractors;Case IH 7140;United States;1992;8131.0;;
300952.75;https://www.mascus.com/agriculture/tractors/john-deere-370/diaf9qgn.html;tractors;John Deere 8R 370;United States;2021;1101.0;370.0;
50950.66;https://www.mascus.com/agriculture/tractors/john-deere-506/7n4pho4g.html;tractors;John Deere 5067E;United States;2024;1.0;67.0;
127607.62;https://www.mascus.com/agriculture/tractors/john-deere-7280-r/bmeh7k8t.html;tractors;John Deere 7280R;United States;2013;3375.0;280.0;
48024.38;https://www.mascus.com/agriculture/tractors/new-holland-ts-6-110/8ghjamhj.html;tractors;New Holland TS6.110;United States;2019;3250.0;110.0;
14178.62;https://www.mascus.com/agriculture/tractors/j-i-case-2390/5fim3r9f.html;tractors;J I Case 2390;United States;1979;5092.0;178.0;2 WD
47108.71;https://www.mascus.com/agriculture/tractors/john-deere-506/cgfhahih.html;tractors;John Deere 5060E;United States;2024;1.0;60.0;
36132.62;https://www.mascus.com/agriculture/tractors/agco-allis-9670/bq4l7qfo.html;tractors;Agco Allis 9670;United States;1995;5006.0;194.0;
324736.25;https://www.mascus.com/agriculture/tractors/john-deere-340/blai4rgj.html;tractors;John Deere 8R 340;United States;2023;1013.0;340.0;
63466.27;https://www.mascus.com/agriculture/tractors/tym-t1104/eu5serih.html;tractors;TYM T1104;United States;2024;;111.0;4 WD
448064.67;https://www.mascus.com/agriculture/tractors/john-deere-410/7ofgdsfq.html;tractors;John Deere 8R 410;United States;2023;1106.0;410.0;
361326.25;https://www.mascus.com/agriculture/tractors/john-deere-370/ao9lhhaq.html;tractors;John Deere 8R 370;United States;2023;694.0;370.0;
457283.52;https://www.mascus.com/agriculture/tractors/john-deere-370/8k7fhfas.html;tractors;John Deere 8R 370;United States;2023;26.0;370.0;
67234.12;https://www.mascus.com/agriculture/tractors/case-ih-maxxum-115/gjhpdkdq.html;tractors;Case IH Maxxum 115;United States;2014;895.0;;
251556.25;https://www.mascus.com/agriculture/tractors/john-deere-230/3ket8k8i.html;tractors;John Deere 8R 230;United States;2022;918.0;230.0;
21492.05;https://www.mascus.com/agriculture/tractors/kioti-cs2220h-tlb-22hp-4x4-tractor-loader-backhoe/8sfq6t4l.html;tractors;Kioti CS2220H-TLB 22HP 4x4 Tractor Loader Backhoe;United States;2024;;;
123491.25;https://www.mascus.com/agriculture/tractors/john-deere-6155-m/7k7u4tch.html;tractors;John Deere 6155M;United States;2023;866.0;155.0;
16008.12;https://www.mascus.com/agriculture/tractors/john-deere-3020/8q5ibu5o.html;tractors;John Deere 3020;United States;1964;6201.0;65.0;2 WD
42992.34;https://www.mascus.com/agriculture/tractors/john-deere-506/4o6nai3u.html;tractors;John Deere 5060E;United States;2024;1.0;60.0;
53055.5;https://www.mascus.com/agriculture/tractors/john-deere-506/io5jht6f.html;tractors;John Deere 5067E;United States;2024;1.0;67.0;
228230.12;https://www.mascus.com/agriculture/tractors/challenger-mt-855-c/hfhj9kig.html;tractors;Challenger MT855C;United States;2009;3093.0;475.0;
12806.5;https://www.mascus.com/agriculture/tractors/other-bearcat-ii/3naucuhk.html;tractors;BEARCAT II;United States;1974;4777.0;;
89188.12;https://www.mascus.com/agriculture/tractors/john-deere-5105-m/7oifes8j.html;tractors;John Deere 5105M;United States;2023;1.0;105.0;
13721.25;https://www.mascus.com/agriculture/tractors/white-6045/brim6sfs.html;;;;;;;
15732.79;https://www.mascus.com/agriculture/tractors/tym-t264h/aogtcj7g.html;tractors;TYM T264H;United States;2024;;24.0;4 WD
182858.52;https://www.mascus.com/agriculture/tractors/john-deere-8370-r/indrdg4s.html;tractors;John Deere 8370R;United States;2015;4400.0;370.0;
32016.25;https://www.mascus.com/agriculture/tractors/kioti-ck2610se-hst/5gbmcmek.html;tractors;Kioti CK2610SE HST;United States;2021;97.0;25.0;
228596.02;https://www.mascus.com/agriculture/tractors/john-deere-8345-r-t/cr5gap7q.html;tractors;John Deere 8345RT;United States;2017;1883.0;345.0;
63849.55;https://www.mascus.com/agriculture/tractors/new-holland-t-7050/9o3rdgap.html;tractors;New Holland T7050;United States;2007;4128.0;165.0;2 WD
13629.77;https://www.mascus.com/agriculture/tractors/kubota-l-3600/cg9iigdm.html;tractors;Kubota L3600;United States;1994;1016.0;38.0;4 WD
31558.88;https://www.mascus.com/agriculture/tractors/kubota-mx-4800-d/hs7pbfeg.html;tractors;Kubota MX4800D;United States;2014;;;
28682.9;https://www.mascus.com/agriculture/tractors/tym-3515ch/7rfm8qdf.html;tractors;TYM 3515CH;United States;2024;;35.0;4 WD
17837.62;https://www.mascus.com/agriculture/tractors/deutz-allis-9130/ar5j9pag.html;tractors;Deutz Allis 9130;United States;1989;;150.0;4 WD
361326.25;https://www.mascus.com/agriculture/tractors/john-deere-370/fmiiepaf.html;tractors;John Deere 8R 370;United States;2023;1049.0;370.0;
100165.12;https://www.mascus.com/agriculture/tractors/case-ih-380/hpho6scu.html;tractors;Case IH STEIGER 380 QUADTRAC;United States;2007;5703.0;380.0;
39791.62;https://www.mascus.com/agriculture/tractors/john-deere-5075-e/9f4r4hdr.html;;;;;1080.0;;
305983.88;https://www.mascus.com/agriculture/tractors/john-deere-9620-r/5gdieqbi.html;tractors;John Deere 9620RX;United States;2020;1752.0;620.0;
45646.02;https://www.mascus.com/agriculture/tractors/john-deere-4066-m/fkfi4jfg.html;tractors;John Deere 4066M;United States;2024;2.0;66.0;
117087.09;https://www.mascus.com/agriculture/tractors/john-deere-6120-m/dfegdjir.html;tractors;John Deere 6120M;United States;2023;2.0;120.0;
361326.25;https://www.mascus.com/agriculture/tractors/john-deere-370/dr5j9rim.html;tractors;John Deere 8R 370;United States;2023;746.0;370.0;
493871.7;https://www.mascus.com/agriculture/tractors/john-deere-490/bu4s3nbo.html;tractors;John Deere 9RX 490;United States;2022;818.0;490.0;
37961.21;https://www.mascus.com/agriculture/tractors/john-deere-4044-m/blasgmhs.html;tractors;John Deere 4044M;United States;2024;1.0;44.0;
44365.38;https://www.mascus.com/agriculture/tractors/john-deere-5075-e/ct5pchhh.html;tractors;John Deere 5075E;United States;2022;120.0;75.0;
9056.02;https://www.mascus.com/agriculture/tractors/j-i-case-4490/3h7o6ufr.html;tractors;J I Case 4490;United States;1983;;194.0;
66318.46;https://www.mascus.com/agriculture/tractors/john-deere-5100-e/fjem8f4j.html;tractors;John Deere 5100E;United States;2023;;100.0;
43450.62;https://www.mascus.com/agriculture/tractors/john-deere-8400/ircs7jgk.html;tractors;John Deere 8400;United States;1998;8695.0;;
134468.25;https://www.mascus.com/agriculture/tractors/john-deere-6155-m/6k8qdo5p.html;tractors;John Deere 6155M;United States;2023;459.0;155.0;
46925.76;https://www.mascus.com/agriculture/tractors/john-deere-4044-r/ftbrirbl.html;;;;;1.0;;
5945.88;https://www.mascus.com/agriculture/tractors/international-560/dqfggm7h.html;tractors;International 560;United States;;3988.0;72.0;2 WD
75008.59;https://www.mascus.com/agriculture/tractors/john-deere-5100-e/5ugi6rhi.html;tractors;John Deere 5100E;United States;2023;1.0;100.0;
37504.75;https://www.mascus.com/agriculture/tractors/new-holland-boomer-55/hi4leqbf.html;tractors;New Holland Boomer 55 T4B;United States;2022;80.0;55.0;
59458.75;https://www.mascus.com/agriculture/tractors/case-ih-farmall-75-c/fmcm5g3m.html;tractors;Case IH FARMALL 75C;United States;2017;288.0;65.0;
98334.71;https://www.mascus.com/agriculture/tractors/john-deere-6120-e/hl4h5sfp.html;tractors;John Deere 6120E;United States;2024;1.0;120.0;
34034.19;https://www.mascus.com/agriculture/tractors/tym-t574hc/8m4t7s7o.html;tractors;TYM T574HC;United States;2024;;55.0;4 WD
42535.88;https://www.mascus.com/agriculture/tractors/john-deere-5075-e/8pal4lgp.html;tractors;John Deere 5075E;United States;2021;522.0;75.0;
300807.3;https://www.mascus.com/agriculture/tractors/john-deere-9520-r/6mej3nej.html;tractors;John Deere 9520R;United States;2021;4100.0;;
173711.02;https://www.mascus.com/agriculture/tractors/john-deere-8370-r/fudo8h6f.html;tractors;John Deere 8370R;United States;2015;4390.0;370.0;
30095.27;https://www.mascus.com/agriculture/tractors/ventrac-4500z/hoal6qhl.html;tractors;Ventrac 4500Z;United States;2018;1995.0;;
68606.25;https://www.mascus.com/agriculture/tractors/cat-ts-180/dm4qajir.html;tractors;CAT TS180;United States;2013;;;
52044.7;https://www.mascus.com/agriculture/tractors/kioti-rx-7320/5l6kdjim.html;tractors;Kioti RX7320PCC 75HP Cab Tractor + FREE BACKHOE SPECIAL;United States;2024;;;
118460.12;https://www.mascus.com/agriculture/tractors/challenger-mt-645-d/8pbh5k4s.html;tractors;Challenger MT645D;United States;2012;2200.0;240.0;4 WD
40249.0;https://www.mascus.com/agriculture/tractors/kubota-9540/8ifq5l4u.html;tractors;Kubota 9540;United States;;835.0;;
228687.5;https://www.mascus.com/agriculture/tractors/mobile-track-solutions-3630t/dlfihudp.html;tractors;Mobile Track Solutions 3630T;United States;2018;4375.0;;
93761.88;https://www.mascus.com/agriculture/tractors/new-holland-t-9-505/ir8s7r6m.html;tractors;New Holland T9.505;United States;2012;5417.0;450.0;4 WD
442291.69;https://www.mascus.com/agriculture/tractors/john-deere-540/ch8jclfu.html;tractors;John Deere 9R 540;United States;2022;2493.0;;
43907.09;https://www.mascus.com/agriculture/tractors/john-deere-4044-m/7ggjisaf.html;tractors;John Deere 4044M;United States;2024;2.0;44.0;
173802.5;https://www.mascus.com/agriculture/tractors/john-deere-8345-r/br8ghnek.html;tractors;John Deere 8345R;United States;2017;3303.0;;
4528.01;https://www.mascus.com/agriculture/tractors/john-deere-855/at6h9mfl.html;tractors;John Deere 855;United States;1990;2900.0;19.0;2 WD
16922.88;https://www.mascus.com/agriculture/tractors/kubota-l-3200/chiq6jel.html;tractors;Kubota L3200;United States;2012;;;
31893.67;https://www.mascus.com/agriculture/tractors/tym-5835r/4jgghral.html;tractors;TYM 5835R;United States;2024;;58.0;4 WD
155050.12;https://www.mascus.com/agriculture/tractors/john-deere-8320-r/9scn8p9h.html;tractors;John Deere 8320R;United States;2014;3310.0;320.0;
26070.38;https://www.mascus.com/agriculture/tractors/kubota-b-3350/9kbtck4f.html;tractors;Kubota B3350;United States;2017;669.0;31.0;
105104.77;https://www.mascus.com/agriculture/tractors/john-deere-8345-r/epat9j6s.html;tractors;John Deere 8345R;United States;2010;7730.0;345.0;
77662.27;https://www.mascus.com/agriculture/tractors/john-deere-5090-m/iu4nijbf.html;tractors;John Deere 5090M;United States;2023;1.0;90.0;
51683.38;https://www.mascus.com/agriculture/tractors/new-holland-t-6030/7g8jekdi.html;tractors;New Holland T6030;United States;2010;;;
353002.02;https://www.mascus.com/agriculture/tractors/john-deere-r-310/esglai9i.html;tractors;John Deere 8R 310;United States;2022;381.0;310.0;
363744.85;https://www.mascus.com/agriculture/tractors/john-deere-r-310/3tfr8jcn.html;tractors;John Deere 8R 310;United States;2023;1036.0;310.0;
594496.03;https://www.mascus.com/agriculture/tractors/john-deere-x-590/chfg8p6m.html;tractors;John Deere 9RX590;United States;2023;346.0;590.0;
38875.96;https://www.mascus.com/agriculture/tractors/john-deere-5045-e/gphmai8p.html;tractors;John Deere 5045E;United States;2023;1.0;50.0;
438988.52;https://www.mascus.com/agriculture/tractors/john-deere-540/3qbsdpck.html;tractors;John Deere 9R 540;United States;2022;795.0;;
914749.09;https://www.mascus.com/agriculture/tractors/john-deere-370/3ocobrhl.html;tractors;John Deere 8R 370;United States;2023;99.0;370.0;
466522.5;https://www.mascus.com/agriculture/tractors/mobile-track-solutions-3630t/9lfien5i.html;tractors;Mobile Track Solutions 3630T;United States;2021;2537.0;;
41162.84;https://www.mascus.com/agriculture/tractors/john-deere-4052-m/7r6ghq7k.html;tractors;John Deere 4052M;United States;2024;1.0;52.0;
447202.98;https://www.mascus.com/agriculture/tractors/john-deere-x-340/4kcm5m8q.html;tractors;John Deere 8RX 340;United States;2021;1448.0;340.0;
521316.02;https://www.mascus.com/agriculture/tractors/john-deere-x-590/hqak9uif.html;tractors;John Deere 9RX590;United States;2022;796.0;590.0;
22457.11;https://www.mascus.com/agriculture/tractors/kubota-b-2650/bpis9uat.html;tractors;Kubota B2650;United States;2019;225.0;19.0;
