Gada stundas/vecums;100;300;500
1;79%;69%;63%
2;67%;58%;52%
3;59%;50%;45%
4;52%;44%;39%
5;47%;39%;34%
6;42%;35%;30%
7;38%;31%;27%
8;35%;28%;24%
9;31%;25%;21%
10;28%;23%;19%
11;26%;20%;17%
12;23%;18%;15%
13;21%;16%;13%
14;19%;14%;12%
15;17%;13%;10%
16;16%;11%;9%
17;14%;10%;8%
18;13%;9%;7%
19;11%;8%;6%
20;10%;7%;5%
