sep=;
category;technical_unit;mark;model;equipment_level;eps_lad_number;price;source;metadata
Lauksaimniecības produkcijas pirmapstrādes un uzglabāšanas tehnika;Graudu tīrītājs;KHMZ;BSH-12;Vidējais;RP-04-0000021;15200.0;https://eps.lad.gov.lv/show_etk_public?action=index&controller=catalog_entries_public&id=6024&page=1;{'aprikojuma_apraksts': 'Divu līmeņu sietu tipa tīrītājs, iebires sadalītājs BSH-6.00.160, Priekšaspirācijas modulis BSH-100.15, pēc aspirācijas modulis BSH-100.20, 8 gb. papildus rāmji ar sietiem', 'elektromotora_jauda_kw': 1.1, 'darba_razigums_kviesiem_t_h': 40.0, 'maksimala_gaisa_plusma_m3_min': 40000.0, 'sijasanas_laukums_m2': 3.2, 'izmeri_m_garums': 3.4, 'izmeri_m_platums': 1.65, 'izmeri_m_augstums': 2.8}
Lauksaimniecības produkcijas pirmapstrādes un uzglabāšanas tehnika;Graudu tīrītājs;KHMZ;BSH-12;Premium;RP-04-0000022;15165.0;https://eps.lad.gov.lv/show_etk_public?action=index&controller=catalog_entries_public&id=6032&page=1;{'aprikojuma_apraksts': 'Divu līmeņu sietu tipa tīrītājs, iebires sadalitājs BSH-6.00.160, Preco putekļu aspirātors 2.2 kW PPA60.B un Preco PPA60.C ciklonu, pēcaspirācijas pneimokanāls BSH-100.08.000 ar PRECO 4 kW ventilātoru un ciklonu PPA100.B, 12 gb. papildus rāmji ar sietiem.', 'elektromotora_jauda_kw': 1.1, 'darba_razigums_kviesiem_t_h': 40.0, 'maksimala_gaisa_plusma_m3_min': 4000.0, 'sijasanas_laukums_m2': 3.2, 'izmeri_m_garums': 2.46, 'izmeri_m_platums': 1.49, 'izmeri_m_augstums': 2.8}
Lauksaimniecības produkcijas pirmapstrādes un uzglabāšanas tehnika;Graudu tīrītājs;KHMZ;BSH-100;Premium;RP-04-0000025;22636.0;https://eps.lad.gov.lv/show_etk_public?action=index&controller=catalog_entries_public&id=6070&page=1;{'aprikojuma_apraksts': 'Divu līmeņu sietu tipa tīrītājs, padeves tvetne ar dozatora rulli, PRECO 4.0 kw ventilātors ar ciklonu PPA100.C 2 gb. pēcaspirācijas kameras, 24 gb. papildus rāmji ar sietiem.', 'elektromotora_jauda_kw': 1.5, 'darba_razigums_kviesiem_t_h': 80.0, 'maksimala_gaisa_plusma_m3_min': 8500.0, 'sijasanas_laukums_m2': 6.0, 'izmeri_m_garums': 3.4, 'izmeri_m_platums': 2.51, 'izmeri_m_augstums': 2.8}
Lauksaimniecības produkcijas pirmapstrādes un uzglabāšanas tehnika;Transportieris;PRECO;S80 11M 60;Bāzes;RP-05-0000109;7502.0;https://eps.lad.gov.lv/show_etk_public?action=index&controller=catalog_entries_public&id=7071&page=1;{'aprikojuma_apraksts': 'Skrāpju transportieris 11 m 60 t/h. Piedziņas sekcija ar reduktormotoru 4 kW, motora aizsargs, iebire D200, izbire D200', 'tips': 'Pašgājējs', 'darba_razigums_t_h': 60.0, 'piemerots_glabatuves_ietilpibai_t': 6000.0}
Ražošanas resursu uzglabāšanas tvertnes;Šķidrumu uzglabāšanas tvertne;FORTIS X-TANK;5000/K600;Bāzes;UT-01-0000039;2682.0;https://eps.lad.gov.lv/show_etk_public?action=index&controller=catalog_entries_public&id=7051&page=1;{'aprikojuma_apraksts': 'PIUSI Panther 72 degvielas sūknis (līdz 79 l/min), digitālais degvielas skaitītājs PIUSI K600 (atrodas degvielas aprīkojuma kastē), Apollo Visual degvielas atlikuma mērītājs, elektroniskais pretnoplūdes sensors – GOK, degvielas izsniegšanas šļūtene 8m (3/4"), automātiska degvielas pistole PIUSI A60, metāla filtrs ar ūdens atdalītāju, degvielas noliešanas pieslēgvieta', 'tilpums_l': 5000.0, 'uzglabajama_skidruma_veids': 'Ūdens', 'tvertnes_tips': 'Dubultsienas', 'tvertnes_materials': 'Polietilēns', 'diametrs_mm': 0.0, 'platums_mm': 2360.0, 'garums_mm': 2730.0, 'augstums_mm': 2090.0}
Lauksaimniecības produkcijas pirmapstrādes un uzglabāšanas tehnika;Graudu glabātuve;MYSILO;1214I-Z0 2GB;Vidējais;RP-02-0000021;185354.0;https://eps.lad.gov.lv/show_etk_public?action=index&controller=catalog_entries_public&id=7126&page=1;{'aprikojuma_apraksts': '2gb graudu torņu komplekts, katrs tornis ar 1215m3 ietilpību un iekļautu : pilnās grīdas ventilāciju, centrbēdzes ventilatoriem, iekšas un āra kāpnēm, jumta apakšrāmi, apskrejošo gliemežtransportieri un temperatūras nolasīšanai sensorkabeli, savācošo transportieri Preco S40 60 t/h 13m ar izliekuma sekciju.\r\nKomplektā iekļauta 10m 60 t/h  Preco norija graudu izlādei un  Preco K60 14m 60t/h  transportieris un Preco K60 26m 60 t/htransportieris graudu uzlādei torņos.', 'ietilpiba_m3': 1215.0, 'izmeri_m_diametrs': 11.0, 'izmeri_m_platums': 11.0, 'izmeri_m_garums': 14.9, 'izmeri_m_augstums': 14.9, 'tips': 'ekspedīcijas', 'izkrausanas_konusa_lenkis_gradi': 45.0}
Lauksaimniecības produkcijas pirmapstrādes un uzglabāšanas tehnika;Transportieris;PRECO;E100 18M 120;Vidējais;RP-05-0000110;13626.0;https://eps.lad.gov.lv/show_etk_public?action=index&controller=catalog_entries_public&id=7170&page=1;{'aprikojuma_apraksts': 'Preco E100 norija 120 t/h 18m, 15KW reduktormotors, eļļas noturīga lenta', 'tips': 'Pašgājējs', 'darba_razigums_t_h': 120.0, 'piemerots_glabatuves_ietilpibai_t': 450.0}
Lauksaimniecības produkcijas pirmapstrādes un uzglabāšanas tehnika;Transportieris;PRECO;S100 22M 100;Vidējais;RP-05-0000112;17743.0;https://eps.lad.gov.lv/show_etk_public?action=index&controller=catalog_entries_public&id=7178&page=1;{'aprikojuma_apraksts': 'Skrāpju tipa transportieris 22m 100t/h ar izliekuma sekciju 30 gradi', 'tips': 'Pašgājējs', 'darba_razigums_t_h': 100.0, 'piemerots_glabatuves_ietilpibai_t': 450.0}
Lauksaimniecības produkcijas pirmapstrādes un uzglabāšanas tehnika;Graudu glabātuve;MYSILO;071045-Z0 (EURO);Premium;RP-02-0000023;37617.0;https://eps.lad.gov.lv/show_etk_public?action=index&controller=catalog_entries_public&id=7205&page=1;{'aprikojuma_apraksts': 'Grautu tornis ar pastiprinātu jumtu, ārējām kāpnēm, 2gb centrbēdzes ventilatoriem , 2gb aksiāliem jumta nosūces ventilatoriem', 'ietilpiba_m3': 325.0, 'izmeri_m_diametrs': 6.41, 'izmeri_m_platums': 6.41, 'izmeri_m_garums': 14.28, 'izmeri_m_augstums': 14.28, 'tips': 'ekspedīcijas', 'izkrausanas_konusa_lenkis_gradi': 45.0}
Lauksaimniecības produkcijas pirmapstrādes un uzglabāšanas tehnika;Graudu glabātuve;MYSILO;060945-Z0;Vidējais;RP-02-0000022;23871.0;https://eps.lad.gov.lv/show_etk_public?action=index&controller=catalog_entries_public&id=7163&page=1;{'aprikojuma_apraksts': 'Konustipa graudu tornis ar ārējām kāpnem, pastiprināto jumta sturuktūru, ventilācijas izvadiem, un manuālu atvēŗšanas šīberi.', 'ietilpiba_m3': 213.0, 'izmeri_m_diametrs': 5.5, 'izmeri_m_platums': 5.5, 'izmeri_m_garums': 12.54, 'izmeri_m_augstums': 12.54, 'tips': 'ekspedīcijas', 'izkrausanas_konusa_lenkis_gradi': 45.0}
